Date,Origin_Prefecture,Destination_Prefecture,Vehicle_Type,Cargo_Weight_Tons,Status
2023-04-05,愛知県,北海道,Light_Van,22.8,Delayed
2023-03-30,宮城県,愛知県,Large_Truck,5.2,Delayed
2023-09-26,福岡県,宮城県,Light_Van,4.0,On_Time
2023-04-17,北海道,愛知県,Refrigerated,5.9,On_Time
2023-09-13,東京都,北海道,Light_Van,3.8,Delayed
2023-07-19,東京都,愛知県,Large_Truck,8.4,Delayed
2023-02-21,北海道,愛知県,Large_Truck,9.3,Completed
2023-09-09,大阪府,福岡県,Refrigerated,24.1,Delayed
2023-03-01,福岡県,愛知県,Light_Van,17.0,On_Time
2023-04-14,北海道,東京都,Medium_Truck,11.0,Delayed
2023-04-09,東京都,大阪府,Large_Truck,21.5,Delayed
2023-01-12,東京都,福岡県,Large_Truck,5.8,Delayed
2023-12-07,北海道,福岡県,Refrigerated,26.9,On_Time
2023-06-13,北海道,宮城県,Medium_Truck,23.3,Delayed
2023-06-10,大阪府,広島県,Large_Truck,3.6,Delayed
2023-06-05,宮城県,東京都,Light_Van,9.6,Completed
2024-02-02,愛知県,大阪府,Light_Van,19.3,Delayed
2023-01-16,北海道,広島県,Refrigerated,19.8,Delayed
2023-02-23,東京都,福岡県,Large_Truck,1.3,Completed
2023-12-07,東京都,大阪府,Light_Van,15.5,On_Time
2023-12-29,福岡県,広島県,Large_Truck,17.6,Delayed
2023-03-29,大阪府,宮城県,Light_Van,2.7,On_Time
2023-06-26,愛知県,大阪府,Large_Truck,10.4,Delayed
2023-02-05,広島県,愛知県,Large_Truck,23.9,Delayed
2023-03-25,東京都,広島県,Light_Van,25.1,On_Time
2023-05-10,広島県,北海道,Light_Van,2.0,Completed
2023-07-09,大阪府,福岡県,Medium_Truck,18.3,Completed
2023-09-14,北海道,宮城県,Medium_Truck,14.6,On_Time
2023-01-12,愛知県,北海道,Medium_Truck,18.8,On_Time
2023-11-19,広島県,宮城県,Light_Van,13.8,Completed
2023-09-24,広島県,愛知県,Light_Van,1.5,Completed
2023-12-07,愛知県,福岡県,Light_Van,33.1,Delayed
2023-06-30,大阪府,広島県,Refrigerated,11.8,Delayed
2023-07-11,愛知県,東京都,Light_Van,8.4,On_Time
2023-08-15,広島県,福岡県,Light_Van,2.6,Delayed
2024-02-03,東京都,宮城県,Refrigerated,23.8,Delayed
2023-07-14,福岡県,愛知県,Refrigerated,5.3,Completed
2023-07-05,福岡県,北海道,Refrigerated,17.3,On_Time
2023-03-15,宮城県,北海道,Medium_Truck,1.7,On_Time
2023-05-20,福岡県,愛知県,Light_Van,14.8,Completed
2023-04-02,大阪府,東京都,Medium_Truck,21.5,Completed
2023-01-13,福岡県,東京都,Medium_Truck,11.9,Completed
2023-12-25,大阪府,愛知県,Light_Van,26.6,On_Time
2023-10-27,愛知県,広島県,Refrigerated,23.1,Completed
2023-10-22,大阪府,広島県,Medium_Truck,9.2,Completed
2023-10-12,宮城県,福岡県,Refrigerated,22.8,Delayed
2024-01-28,広島県,福岡県,Light_Van,4.8,Completed
